Question_No,Question,Acceptance,isPremium,Question_Link,Solution,Tags
154, Find Minimum in Rotated Sorted Array II,43.80%,FALSE,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/description,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/solutions,Hard
154, Find Minimum in Rotated Sorted Array II,43.80%,FALSE,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/description,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/solutions,MultiConcept
155, Min Stack,55.00%,FALSE,https://leetcode.com/problems/min-stack/description,https://leetcode.com/problems/min-stack/solutions,Edge Case Intensive
156, Binary Tree Upside Down,63.20%,TRUE,https://leetcode.com/problems/binary-tree-upside-down/description,https://leetcode.com/problems/binary-tree-upside-down/solutions,Edge Case Intensive
157, Read N Characters Given Read4,41.80%,TRUE,https://leetcode.com/problems/read-n-characters-given-read4/description,https://leetcode.com/problems/read-n-characters-given-read4/solutions,Easy
158, Read N Characters Given read4 II - Call Multiple Times,42.50%,TRUE,https://leetcode.com/problems/read-n-characters-given-read4-ii---call-multiple-times/description,https://leetcode.com/problems/read-n-characters-given-read4-ii---call-multiple-times/solutions,Hard
159, Longest Substring with At Most Two Distinct Characters,55.70%,TRUE,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/description,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/solutions,Edge Case Intensive
159, Longest Substring with At Most Two Distinct Characters,55.70%,TRUE,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/description,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters/solutions,MultiConcept
160, Intersection of Two Linked Lists,58.90%,FALSE,https://leetcode.com/problems/intersection-of-two-linked-lists/description,https://leetcode.com/problems/intersection-of-two-linked-lists/solutions,Easy
161, One Edit Distance,34.40%,TRUE,https://leetcode.com/problems/one-edit-distance/description,https://leetcode.com/problems/one-edit-distance/solutions,Tricky
162, Find Peak Element,46.00%,FALSE,https://leetcode.com/problems/find-peak-element/description,https://leetcode.com/problems/find-peak-element/solutions,Edge Case Intensive
163, Missing Ranges,34.10%,TRUE,https://leetcode.com/problems/missing-ranges/description,https://leetcode.com/problems/missing-ranges/solutions,Easy
164, Maximum Gap,47.30%,FALSE,https://leetcode.com/problems/maximum-gap/description,https://leetcode.com/problems/maximum-gap/solutions,Edge Case Intensive
165, Compare Version Numbers,41.30%,FALSE,https://leetcode.com/problems/compare-version-numbers/description,https://leetcode.com/problems/compare-version-numbers/solutions,Edge Case Intensive
173, Binary Search Tree Iterator,73.10%,FALSE,https://leetcode.com/problems/binary-search-tree-iterator/description,https://leetcode.com/problems/binary-search-tree-iterator/solutions,Edge Case Intensive
174, Dungeon Game,38.50%,FALSE,https://leetcode.com/problems/dungeon-game/description,https://leetcode.com/problems/dungeon-game/solutions,Hard
175, Combine Two Tables,76.70%,FALSE,https://leetcode.com/problems/combine-two-tables/description,https://leetcode.com/problems/combine-two-tables/solutions,Easy
176, Second Highest Salary,41.60%,FALSE,https://leetcode.com/problems/second-highest-salary/description,https://leetcode.com/problems/second-highest-salary/solutions,Edge Case Intensive
177, Nth Highest Salary,38.00%,FALSE,https://leetcode.com/problems/nth-highest-salary/description,https://leetcode.com/problems/nth-highest-salary/solutions,Tricky
178, Rank Scores,63.40%,FALSE,https://leetcode.com/problems/rank-scores/description,https://leetcode.com/problems/rank-scores/solutions,Edge Case Intensive
179, Largest Number,39.90%,FALSE,https://leetcode.com/problems/largest-number/description,https://leetcode.com/problems/largest-number/solutions,Tricky
180, Consecutive Numbers,44.00%,FALSE,https://leetcode.com/problems/consecutive-numbers/description,https://leetcode.com/problems/consecutive-numbers/solutions,Edge Case Intensive
181, Employees Earning More Than Their Managers,70.20%,FALSE,https://leetcode.com/problems/employees-earning-more-than-their-managers/description,https://leetcode.com/problems/employees-earning-more-than-their-managers/solutions,Easy
182, Duplicate Emails,71.50%,FALSE,https://leetcode.com/problems/duplicate-emails/description,https://leetcode.com/problems/duplicate-emails/solutions,Easy
183, Customers Who Never Order,69.60%,FALSE,https://leetcode.com/problems/customers-who-never-order/description,https://leetcode.com/problems/customers-who-never-order/solutions,Easy
184, Department Highest Salary,52.70%,FALSE,https://leetcode.com/problems/department-highest-salary/description,https://leetcode.com/problems/department-highest-salary/solutions,Edge Case Intensive
185, Department Top Three Salaries,55.00%,FALSE,https://leetcode.com/problems/department-top-three-salaries/description,https://leetcode.com/problems/department-top-three-salaries/solutions,Hard
186, Reverse Words in a String II,55.20%,TRUE,https://leetcode.com/problems/reverse-words-in-a-string-ii/description,https://leetcode.com/problems/reverse-words-in-a-string-ii/solutions,Edge Case Intensive
187, Repeated DNA Sequences,49.70%,FALSE,https://leetcode.com/problems/repeated-dna-sequences/description,https://leetcode.com/problems/repeated-dna-sequences/solutions,Edge Case Intensive
188, Best Time to Buy and Sell Stock IV,44.60%,FALSE,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/description,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/solutions,Hard
189, Rotate Array,41.60%,FALSE,https://leetcode.com/problems/rotate-array/description,https://leetcode.com/problems/rotate-array/solutions,Edge Case Intensive
189, Rotate Array,41.60%,FALSE,https://leetcode.com/problems/rotate-array/description,https://leetcode.com/problems/rotate-array/solutions,MultiConcept
190, Reverse Bits,60.20%,FALSE,https://leetcode.com/problems/reverse-bits/description,https://leetcode.com/problems/reverse-bits/solutions,Easy
191, Number of 1 Bits,72.40%,FALSE,https://leetcode.com/problems/number-of-1-bits/description,https://leetcode.com/problems/number-of-1-bits/solutions,Easy
192, Word Frequency,26.00%,FALSE,https://leetcode.com/problems/word-frequency/description,https://leetcode.com/problems/word-frequency/solutions,Tricky
192, Word Frequency,26.00%,FALSE,https://leetcode.com/problems/word-frequency/description,https://leetcode.com/problems/word-frequency/solutions,Optimization Required
193, Valid Phone Numbers,26.30%,FALSE,https://leetcode.com/problems/valid-phone-numbers/description,https://leetcode.com/problems/valid-phone-numbers/solutions,Easy
193, Valid Phone Numbers,26.30%,FALSE,https://leetcode.com/problems/valid-phone-numbers/description,https://leetcode.com/problems/valid-phone-numbers/solutions,Optimization Required
194, Transpose File,26.80%,FALSE,https://leetcode.com/problems/transpose-file/description,https://leetcode.com/problems/transpose-file/solutions,Tricky
194, Transpose File,26.80%,FALSE,https://leetcode.com/problems/transpose-file/description,https://leetcode.com/problems/transpose-file/solutions,Optimization Required
195, Tenth Line,33.60%,FALSE,https://leetcode.com/problems/tenth-line/description,https://leetcode.com/problems/tenth-line/solutions,Easy
196, Delete Duplicate Emails,62.90%,FALSE,https://leetcode.com/problems/delete-duplicate-emails/description,https://leetcode.com/problems/delete-duplicate-emails/solutions,Easy
197, Rising Temperature,48.90%,FALSE,https://leetcode.com/problems/rising-temperature/description,https://leetcode.com/problems/rising-temperature/solutions,Easy
198, House Robber,51.50%,FALSE,https://leetcode.com/problems/house-robber/description,https://leetcode.com/problems/house-robber/solutions,Edge Case Intensive
199, Binary Tree Right Side View,63.90%,FALSE,https://leetcode.com/problems/binary-tree-right-side-view/description,https://leetcode.com/problems/binary-tree-right-side-view/solutions,Edge Case Intensive
200, Number of Islands,60.40%,FALSE,https://leetcode.com/problems/number-of-islands/description,https://leetcode.com/problems/number-of-islands/solutions,Edge Case Intensive
201, Bitwise AND of Numbers Range,47.20%,FALSE,https://leetcode.com/problems/bitwise-and-of-numbers-range/description,https://leetcode.com/problems/bitwise-and-of-numbers-range/solutions,Edge Case Intensive
202, Happy Number,56.80%,FALSE,https://leetcode.com/problems/happy-number/description,https://leetcode.com/problems/happy-number/solutions,Easy
203, Remove Linked List Elements,49.90%,FALSE,https://leetcode.com/problems/remove-linked-list-elements/description,https://leetcode.com/problems/remove-linked-list-elements/solutions,Easy
204, Count Primes,34.00%,FALSE,https://leetcode.com/problems/count-primes/description,https://leetcode.com/problems/count-primes/solutions,Tricky
205, Isomorphic Strings,45.70%,FALSE,https://leetcode.com/problems/isomorphic-strings/description,https://leetcode.com/problems/isomorphic-strings/solutions,Easy
206, Reverse Linked List,77.60%,FALSE,https://leetcode.com/problems/reverse-linked-list/description,https://leetcode.com/problems/reverse-linked-list/solutions,Easy
207, Course Schedule,47.50%,FALSE,https://leetcode.com/problems/course-schedule/description,https://leetcode.com/problems/course-schedule/solutions,Edge Case Intensive
208, Implement Trie (Prefix Tree),66.30%,FALSE,https://leetcode.com/problems/implement-trie-(prefix-tree)/description,https://leetcode.com/problems/implement-trie-(prefix-tree)/solutions,Edge Case Intensive
209, Minimum Size Subarray Sum,47.90%,FALSE,https://leetcode.com/problems/minimum-size-subarray-sum/description,https://leetcode.com/problems/minimum-size-subarray-sum/solutions,Edge Case Intensive
210, Course Schedule II,51.50%,FALSE,https://leetcode.com/problems/course-schedule-ii/description,https://leetcode.com/problems/course-schedule-ii/solutions,Edge Case Intensive
211, Design Add and Search Words Data Structure,45.90%,FALSE,https://leetcode.com/problems/design-add-and-search-words-data-structure/description,https://leetcode.com/problems/design-add-and-search-words-data-structure/solutions,Edge Case Intensive
212, Word Search II,36.60%,FALSE,https://leetcode.com/problems/word-search-ii/description,https://leetcode.com/problems/word-search-ii/solutions,Hard
213, House Robber II,42.50%,FALSE,https://leetcode.com/problems/house-robber-ii/description,https://leetcode.com/problems/house-robber-ii/solutions,Edge Case Intensive
214, Shortest Palindrome,39.60%,FALSE,https://leetcode.com/problems/shortest-palindrome/description,https://leetcode.com/problems/shortest-palindrome/solutions,Hard
215, Kth Largest Element in an Array,67.10%,FALSE,https://leetcode.com/problems/kth-largest-element-in-an-array/description,https://leetcode.com/problems/kth-largest-element-in-an-array/solutions,Edge Case Intensive
215, Kth Largest Element in an Array,67.10%,FALSE,https://leetcode.com/problems/kth-largest-element-in-an-array/description,https://leetcode.com/problems/kth-largest-element-in-an-array/solutions,MultiConcept
216, Combination Sum III,70.60%,FALSE,https://leetcode.com/problems/combination-sum-iii/description,https://leetcode.com/problems/combination-sum-iii/solutions,Edge Case Intensive
217, Contains Duplicate,62.20%,FALSE,https://leetcode.com/problems/contains-duplicate/description,https://leetcode.com/problems/contains-duplicate/solutions,Easy
218, The Skyline Problem,43.10%,FALSE,https://leetcode.com/problems/the-skyline-problem/description,https://leetcode.com/problems/the-skyline-problem/solutions,Hard
219, Contains Duplicate II,46.50%,FALSE,https://leetcode.com/problems/contains-duplicate-ii/description,https://leetcode.com/problems/contains-duplicate-ii/solutions,Easy
220, Contains Duplicate III,23.00%,FALSE,https://leetcode.com/problems/contains-duplicate-iii/description,https://leetcode.com/problems/contains-duplicate-iii/solutions,Hard
220, Contains Duplicate III,23.00%,FALSE,https://leetcode.com/problems/contains-duplicate-iii/description,https://leetcode.com/problems/contains-duplicate-iii/solutions,Optimization Required
221, Maximal Square,47.30%,FALSE,https://leetcode.com/problems/maximal-square/description,https://leetcode.com/problems/maximal-square/solutions,Edge Case Intensive
222, Count Complete Tree Nodes,67.20%,FALSE,https://leetcode.com/problems/count-complete-tree-nodes/description,https://leetcode.com/problems/count-complete-tree-nodes/solutions,Easy
223, Rectangle Area,46.60%,FALSE,https://leetcode.com/problems/rectangle-area/description,https://leetcode.com/problems/rectangle-area/solutions,Edge Case Intensive
224, Basic Calculator,43.90%,FALSE,https://leetcode.com/problems/basic-calculator/description,https://leetcode.com/problems/basic-calculator/solutions,Hard
225, Implement Stack using Queues,65.20%,FALSE,https://leetcode.com/problems/implement-stack-using-queues/description,https://leetcode.com/problems/implement-stack-using-queues/solutions,Easy
226, Invert Binary Tree,77.80%,FALSE,https://leetcode.com/problems/invert-binary-tree/description,https://leetcode.com/problems/invert-binary-tree/solutions,Easy
